Player Id,Year,Rushing TDs,Rushing Yards,Rushing Attempts,Fumbles,Team
2543640,2016,0,12,6,0,HOU
2543640,2014,0,-6,6,2,HOU
81306,2016,0,48,3,0,BUF
81306,2014,0,21,3,0,CIN
2555230,2016,2,179,33,0,MIA
2535716,2013,0,-3,2,0,NYJ
2543836,2015,0,-3,1,0,DET
2534789,2016,0,7,2,0,PIT
2534789,2013,0,215,69,0,LA
2552487,2016,0,0,1,0,LV
2552487,2015,0,-3,3,0,LV
784,2013,0,0,1,0,TEN
2556118,2016,1,265,90,0,DET
497236,2016,0,0,1,0,SEA
2530690,2016,0,138,38,1,SF
2530690,2015,0,140,27,0,SF
2530690,2015,0,49,21,1,SEA
2530690,2014,0,64,16,0,GB
2543565,2016,0,87,18,0,SD
2543565,2015,1,257,88,0,NYG
2543565,2014,7,721,217,1,NYG
238498,2016,0,57,12,1,NE
238498,2015,0,23,3,0,NE
238498,2014,0,94,10,0,NE
238498,2013,0,11,2,0,NE
2495227,2013,0,73,20,0,NYG
2543611,2014,0,-12,1,1,CHI
2552415,2016,0,-2,2,0,WAS
2552415,2015,0,2,2,0,WAS
2539303,2016,0,15,7,0,MIN
2539303,2015,2,10,6,0,MIN
2555348,2016,0,0,3,0,HOU
2552374,2016,0,101,18,0,DET
2552374,2015,2,597,143,4,DET
2495450,2014,0,2,2,1,CIN
71269,2014,0,4,1,0,SF
2540175,2016,7,1268,261,3,PIT
2540175,2015,3,556,113,0,PIT
2540175,2014,8,1361,290,0,PIT
2540175,2013,8,860,244,1,PIT
2552631,2016,0,34,9,0,BAL
2552631,2015,1,514,137,2,BAL
2543498,2016,0,30,6,0,NO
2543498,2015,0,18,8,0,NO
2543498,2014,1,73,7,0,NO
497278,2013,0,1,1,0,DAL
2553642,2016,0,0,1,2,MIA
2550512,2016,3,115,35,0,MIA
2550512,2015,0,59,16,1,MIA
2550512,2014,0,122,36,0,MIA
2507164,2016,0,72,37,1,MIN
2507164,2015,11,1485,327,6,MIN
2507164,2014,0,75,21,0,MIN
2507164,2013,10,1266,279,3,MIN
2530658,2015,0,34,2,0,DET
2532960,2014,0,4,1,0,NO
2543695,2016,0,9,4,0,HOU
2543695,2015,0,33,6,0,HOU
2543743,2016,6,988,217,4,SF
2543743,2015,3,470,115,1,SF
2543743,2014,4,333,83,1,SF
2495775,2013,0,4,2,0,SD
2555209,2016,0,19,3,0,BAL
2533012,2013,0,63,13,0,IND
2508123,2015,0,0,6,0,HOU
2508123,2013,0,0,1,0,HOU
2552375,2016,2,144,36,0,CAR
2552375,2015,1,183,45,0,CAR
2533460,2016,7,164,47,0,IND
2533460,2015,1,139,32,0,DAL
2533460,2015,0,60,18,0,CLE
2533460,2014,0,310,74,1,SEA
2533460,2013,0,264,77,0,SEA
71333,2013,0,0,1,1,CIN
2495331,2013,0,-4,3,0,WAS
497123,2015,0,-3,3,0,WAS
497123,2014,1,66,16,2,WAS
497123,2013,0,-6,6,0,SF
2495863,2015,0,-8,8,0,SEA
2495863,2013,1,1,4,0,SEA
2540208,2014,0,0,1,1,PIT
2506053,2013,0,-4,3,0,NO
2504775,2016,2,20,23,0,NO
2504775,2015,1,14,24,0,NO
2504775,2014,1,68,27,2,NO
2504775,2013,3,52,35,0,NO
2552453,2016,8,520,118,1,ATL
2552453,2015,1,392,87,3,ATL
2550481,2016,2,111,30,0,NYG
2550481,2015,1,153,36,0,NYG
2550481,2014,1,21,5,0,NYG
2550481,2014,0,2,4,0,MIA
2506121,2016,0,35,14,2,SD
2506121,2015,0,28,17,2,SD
2506121,2014,0,102,37,4,SD
2506121,2013,0,72,28,2,SD
2550284,2014,0,10,5,0,PHI
2532865,2014,0,20,2,0,IND
2532865,2013,0,6,2,0,IND
2532887,2014,0,15,2,0,SEA
2506874,2016,1,-3,12,1,BUF
2506874,2015,0,28,8,0,SF
2506874,2014,2,297,76,0,DET
2506874,2013,4,1006,223,5,DET
2532923,2014,1,23,1,0,NYJ
497322,2016,0,4,1,0,DEN
497322,2015,0,29,3,0,DEN
497322,2014,0,44,8,0,DEN
497322,2013,0,25,1,0,PIT
2553486,2015,0,12,2,0,IND
2550448,2014,0,30,7,0,LA
2556075,2016,5,490,110,0,TEN
2535708,2016,1,31,9,0,DAL
2535708,2015,0,67,5,0,DAL
2535708,2014,0,99,29,0,DAL
2535708,2013,0,150,30,0,DAL
2550546,2016,0,6,2,0,CAR
2550546,2015,0,38,6,0,CAR
2550546,2014,0,95,8,0,CAR
2553733,2016,3,349,109,0,SEA
2553733,2015,4,830,147,1,SEA
2553728,2016,0,6,1,0,SF
2532917,2015,0,-1,2,1,DAL
89798,2016,0,47,10,2,TB
89798,2015,0,11,1,0,CHI
89798,2014,2,144,23,1,ATL
89798,2013,2,145,5,0,ATL
2539291,2014,0,19,4,0,PIT
2555460,2016,0,456,112,1,NYG
2508101,2014,0,5,3,0,NE
2508101,2013,1,10,4,0,NE
2532841,2014,0,2,1,0,ARI
2542065,2016,0,-3,3,0,LV
2542065,2014,0,3,2,0,LV
2542065,2013,0,27,11,2,LV
2495341,2015,0,47,10,1,HOU
2495467,2016,0,-8,1,0,LV
2495467,2015,0,74,16,1,LV
2495467,2013,0,23,5,0,LV
2553435,2016,16,1239,293,5,ARI
2553435,2015,8,581,125,2,ARI
2543770,2016,1,149,51,1,TB
2543770,2015,0,529,107,1,TB
2543770,2014,1,185,66,2,TB
2555260,2016,6,282,57,3,DAL
2533034,2016,5,1073,268,2,HOU
2533034,2015,8,872,194,1,MIA
2533034,2014,8,1099,216,2,MIA
2533034,2013,2,709,177,1,MIA
1037885,2016,0,15,1,0,TEN
1037885,2015,0,0,0,0,CHI
2505889,2016,0,0,1,1,PHI
497149,2016,18,1161,299,2,NE
497149,2015,6,703,165,1,NE
497149,2014,3,281,60,0,NE
497149,2014,2,266,65,1,PIT
497149,2013,7,772,153,3,NE
2552383,2016,0,12,3,0,SEA
2552383,2015,0,5,2,0,BAL
2552475,2016,6,885,278,2,LA
2552475,2015,10,1106,229,3,LA
2533039,2014,0,33,6,1,CHI
2533039,2013,0,105,16,0,CHI
2543590,2015,0,1,2,0,DEN
79607,2016,13,1267,234,3,BUF
79607,2015,3,895,203,1,BUF
79607,2014,5,1319,312,3,PHI
79607,2013,9,1607,314,1,PHI
2495186,2016,2,468,69,2,SF
2495186,2015,1,256,45,4,SF
2495186,2014,1,639,104,5,SF
2495186,2013,4,524,92,3,SF
2532899,2016,3,421,144,1,TB
2532899,2015,6,1402,288,4,TB
2532899,2014,2,494,134,0,TB
2532899,2013,1,456,127,1,TB
2552656,2016,1,83,4,0,ARI
2552656,2015,0,0,1,0,ARI
2508112,2014,0,1,1,0,ARI
941,2013,4,660,214,2,BAL
2555418,2016,6,1313,252,1,CHI
2552466,2016,2,349,60,7,TEN
2552466,2015,2,252,34,2,TEN
2495159,2015,0,12,2,0,NYG
2495159,2014,0,7,4,0,DAL
2495159,2013,0,6,1,0,DAL
949,2016,9,824,218,3,CAR
949,2015,6,989,242,3,CAR
949,2014,3,809,175,2,CAR
949,2013,0,180,48,1,CAR
71345,2016,3,593,181,0,NYG
71345,2015,3,863,195,1,NYG
71345,2014,4,639,167,0,NYG
71345,2013,6,733,163,0,LV
2553762,2016,0,151,31,0,ATL
2553762,2015,1,95,29,0,ATL
2532975,2016,1,259,72,2,SEA
2532975,2015,1,553,103,4,SEA
2532975,2014,6,849,118,5,SEA
2532975,2013,1,539,96,2,SEA
2556885,2016,1,491,83,0,LV
2543551,2016,0,126,32,0,CHI
2543551,2015,2,159,43,1,CHI
2543551,2014,0,158,36,0,CHI
2533032,2014,3,519,159,2,IND
2533032,2013,3,458,157,2,IND
2533032,2013,0,105,31,0,CLE
2508061,2016,0,9,3,0,PIT
2508061,2015,0,28,3,0,PIT
2508061,2014,0,13,4,0,PIT
2508061,2013,0,4,7,0,PIT
1581,2014,0,7,4,0,WAS
1581,2013,0,2,3,0,PHI
2555346,2016,0,-3,1,0,HOU
2535696,2016,0,7,2,0,JAX
2535696,2014,0,88,21,0,MIN
2550263,2016,1,26,8,0,DEN
2550263,2015,0,48,18,0,DEN
2550263,2014,3,272,54,1,DEN
2543499,2016,0,70,39,3,LV
2543499,2015,0,138,33,2,LV
2543499,2014,0,92,29,6,LV
2541910,2015,0,1,4,0,DET
2541910,2014,0,73,19,0,DET
2508004,2015,0,3,1,1,BAL
2506340,2016,5,134,48,2,KC
2506340,2015,2,498,84,2,KC
2506340,2014,1,254,49,1,KC
2506340,2013,1,431,76,3,KC
2543488,2016,0,17,5,0,MIA
2543488,2015,1,113,18,0,MIA
2543488,2014,0,-4,2,0,MIA
2506364,2014,0,1,1,0,CIN
2506364,2013,0,107,14,0,CLE
2550175,2014,0,2,2,0,CLE
2530763,2015,0,0,1,0,ATL
2533038,2013,0,-1,1,0,JAX
71217,2014,0,14,2,0,LA
2555558,2016,0,0,1,1,NYJ
2536031,2015,0,6,1,0,NE
2536031,2014,0,19,5,0,HOU
1970,2013,0,44,11,0,IND
1970,2013,0,126,35,0,BUF
2507737,2015,0,10,6,1,WAS
2507737,2014,3,22,9,0,WAS
2507737,2013,3,41,12,0,WAS
2550313,2015,0,11,1,0,GB
2506444,2014,1,14,15,0,BUF
2506444,2013,0,8,1,0,DAL
2550738,2016,0,58,14,0,PIT
2550738,2015,0,42,18,0,PIT
2550738,2014,0,12,6,0,BAL
2553446,2016,0,2,1,1,CLE
2553660,2016,0,109,20,2,HOU
2553660,2015,0,96,17,0,HOU
2506106,2016,0,5,2,0,ARI
2506106,2013,0,8,2,0,ARI
79860,2016,2,207,37,0,DET
79860,2015,1,159,44,1,DET
79860,2014,2,93,43,2,DET
79860,2013,2,69,37,8,DET
2535869,2013,0,17,2,0,LV
2505777,2013,0,23,11,0,BAL
2534241,2014,0,2,1,0,SF
2532970,2015,1,17,7,0,HOU
2532970,2015,0,30,9,0,DAL
2532970,2014,0,-1,6,1,DAL
2532970,2013,0,44,12,0,CLE
81284,2015,0,-2,2,0,KC
81284,2014,0,15,4,0,KC
81284,2013,0,52,14,0,KC
2550252,2014,0,9,7,1,CLE
2495660,2013,0,182,47,0,TB
80644,2013,0,61,7,0,NYJ
1990,2015,0,-1,1,0,CHI
1990,2014,0,14,3,0,SD
1990,2013,0,21,3,0,SD
2553621,2016,0,82,10,1,DAL
2553621,2015,0,107,10,0,DAL
2555229,2016,2,382,88,1,BAL
2534819,2016,0,27,2,1,LV
2537931,2013,0,88,5,0,CLE
2507029,2015,0,4,1,0,ATL
4327,2016,0,116,19,0,SD
4327,2015,3,336,98,0,SD
4327,2014,0,38,15,0,SD
4327,2013,2,429,106,1,SD
2495966,2016,0,11,2,0,TEN
2495966,2015,0,36,1,0,TEN
2532978,2015,0,29,1,0,MIN
2532978,2014,0,71,5,0,MIN
2543603,2016,9,839,222,0,CIN
2543603,2015,11,794,223,3,CIN
2543603,2014,9,1124,222,4,CIN
2550658,2015,0,108,31,0,SD
2550658,2014,3,582,160,0,SD
2504833,2016,0,5,5,0,MIN
2504833,2015,0,-5,4,0,MIN
2504833,2014,1,10,10,2,LA
2504833,2013,0,-2,2,0,DET
2533349,2015,0,33,7,1,CLE
2533349,2014,0,36,16,1,LA
2543462,2015,0,230,37,0,CLE
2543462,2014,1,29,9,0,CLE
2555317,2016,0,1,1,0,TEN
2495585,2014,0,3,1,0,SF
2552470,2016,0,14,4,0,PIT
2495454,2014,0,1,1,0,ATL
2495454,2013,0,7,1,0,ATL
2530747,2016,0,2,3,0,SEA
2530747,2014,0,8,1,0,SEA
2530747,2013,0,6,2,0,SEA
2532876,2014,0,-2,2,1,KC
2532876,2013,0,6,2,0,KC
2495240,2016,6,580,95,3,BUF
2495240,2015,4,568,104,4,BUF
2495240,2014,0,-3,4,0,BAL
2495240,2013,0,64,8,0,BAL
2555259,2016,2,150,46,4,PHI
2495967,2014,0,57,13,0,TEN
2495967,2013,0,1,1,0,NE
2555227,2016,1,94,27,2,BUF
2531332,2016,1,21,8,1,CLE
2531332,2015,0,-1,1,0,CLE
2531332,2013,2,576,83,2,LV
2504211,2016,0,64,28,1,NE
2504211,2015,3,53,34,1,NE
2504211,2014,0,57,36,1,NE
2504211,2013,0,18,32,3,NE
2553533,2015,0,19,4,0,GB
2495328,2016,3,722,131,0,NYJ
2495328,2015,1,313,70,1,NYJ
2495328,2014,1,141,33,0,NYJ
2495328,2013,1,697,176,1,NYJ
2649,2015,0,11,2,0,NE
2649,2013,0,1,1,0,NE
2552597,2016,0,2,1,0,BAL
2555466,2016,0,58,4,0,CIN
497121,2013,1,52,24,3,BUF
2543496,2016,0,9,1,0,NYG
2543496,2015,0,3,1,0,NYG
2543496,2014,0,35,7,0,NYG
2555333,2016,0,10,2,0,CLE
2550189,2016,7,952,198,2,CLE
2550189,2015,4,706,185,0,CLE
2550189,2014,8,607,148,3,CLE
2533435,2016,1,1,1,0,KC
2533435,2015,1,1,1,0,KC
2540204,2016,3,921,214,3,KC
2540204,2015,6,403,72,0,KC
2540204,2013,0,10,3,0,SEA
2532838,2016,1,2,1,0,NO
2495139,2013,1,15,7,0,MIA
2507585,2013,0,1,1,0,JAX
2541429,2015,0,6,6,0,HOU
2505076,2016,0,21,7,2,CLE
2505076,2015,1,98,20,3,CLE
2505076,2014,3,127,25,1,TB
2505076,2013,1,69,13,1,CHI
2543572,2015,1,37,5,0,PIT
2543572,2014,0,12,3,0,PIT
2543773,2016,0,166,39,0,NE
2543773,2015,2,56,22,0,NE
2543773,2014,0,38,9,0,NE
2540037,2016,0,265,57,1,CAR
2540037,2015,1,108,25,0,CAR
2540037,2014,1,145,32,0,CAR
2540037,2013,0,79,28,0,CLE
497172,2015,1,44,21,0,BUF
497172,2014,2,432,105,1,BUF
497172,2013,2,56,28,0,SF
81869,2013,0,14,4,0,BAL
230,2016,0,13,8,0,BUF
230,2015,0,2,1,0,BUF
230,2014,0,27,4,0,MIN
71265,2014,0,0,1,0,LA
2507428,2016,0,114,35,0,CAR
2507428,2015,1,256,62,0,CAR
2507428,2014,0,78,37,0,CAR
2507428,2013,5,361,101,0,CAR
2533540,2014,0,2,1,0,NO
2533540,2013,2,171,43,0,CLE
2541785,2016,0,15,2,0,MIN
2541785,2015,0,89,4,0,MIN
2543600,2016,1,420,100,2,HOU
2543600,2015,2,698,183,2,HOU
2543600,2014,2,528,169,0,HOU
2553631,2016,4,334,88,1,DET
2553631,2015,0,60,17,0,DET
2555261,2016,1,83,16,2,NE
2495824,2016,0,24,5,1,CHI
2495824,2015,1,201,38,2,CHI
2495824,2014,2,191,39,3,CHI
2495824,2013,0,118,23,1,CHI
2533046,2015,0,1,1,0,IND
2507282,2016,0,-1,1,0,MIA
2507282,2015,0,-2,3,0,MIA
2507282,2014,0,-2,2,0,MIA
496760,2015,0,0,1,0,JAX
2539336,2016,1,159,28,1,LA
2539336,2015,4,434,52,0,LA
2539336,2014,2,224,36,0,LA
2539336,2013,1,151,9,0,LA
2541616,2013,0,15,2,0,TB
2556440,2016,0,2,1,0,SEA
2506448,2013,4,238,58,1,NYG
497190,2016,0,2,3,0,SD
497190,2015,1,247,55,1,TEN
497190,2014,0,131,40,0,TEN
497190,2013,0,5,8,0,KC
2541147,2014,0,-11,1,0,MIN
2555224,2016,15,1631,322,5,DAL
2495663,2015,3,417,111,0,SEA
2495663,2014,13,1306,280,1,SEA
2495663,2013,12,1257,301,3,SEA
2553348,2016,0,-3,1,1,PIT
2552428,2015,0,8,1,0,TEN
2556752,2016,0,11,3,0,NO
163982,2015,1,7,4,0,PIT
163982,2014,0,0,2,0,PIT
310,2016,0,117,35,1,ATL
310,2015,0,63,36,4,ATL
310,2014,0,145,29,1,ATL
310,2013,0,55,17,1,ATL
2505587,2014,0,4,1,0,SF
2505587,2013,0,11,2,0,SF
497206,2016,0,145,63,0,GB
497206,2015,2,601,148,4,GB
497206,2014,2,333,85,1,GB
497206,2013,3,493,89,1,GB
2555430,2016,1,125,31,2,SEA
2495748,2016,0,-3,3,0,ARI
2495748,2015,0,-13,13,0,ARI
2495748,2014,0,63,25,0,ARI
2540225,2015,0,2,2,0,NYJ
2540225,2014,0,3,1,0,NYJ
2540225,2013,0,62,17,0,NYJ
2552608,2016,0,10,3,0,MIN
2552608,2015,0,13,3,0,MIN
367,2014,0,-10,10,0,GB
367,2013,0,61,17,2,GB
367,2013,0,4,3,2,LV
2550617,2016,1,51,4,0,ATL
2550617,2014,0,10,4,0,CLE
2539290,2015,0,10,1,0,CLE
2533040,2016,0,5,1,0,ATL
2533040,2015,2,71,10,0,CIN
2533040,2014,0,51,7,0,CIN
2533040,2013,0,16,4,0,CIN
2553737,2016,0,6,1,0,PIT
2550500,2014,0,19,1,0,TB
2495466,2016,6,1043,205,2,NO
2495466,2015,6,769,166,1,NO
2495466,2014,9,964,226,1,NO
2495466,2013,1,386,78,0,NO
2552424,2016,0,10,2,0,IND
2552424,2015,0,17,3,0,IND
2552430,2016,1,114,6,0,SEA
2552430,2015,0,20,5,0,SEA
2539250,2015,0,5,1,0,SF
2539250,2014,0,20,1,1,SF
2539250,2013,0,26,1,0,SF
2534889,2014,0,2,1,0,NYJ
2534889,2013,0,37,5,1,NYJ
2505936,2015,1,50,21,0,NE
2505936,2014,6,707,190,0,ATL
2505936,2013,6,543,157,0,ATL
2532900,2015,0,6,1,0,NE
2552464,2016,0,3,1,0,TEN
2552464,2015,1,13,7,0,TEN
2643,2014,0,0,1,0,ARI
2506404,2016,4,1025,263,2,IND
2506404,2015,6,967,260,4,IND
2506404,2014,4,1106,255,2,SF
2506404,2013,9,1128,276,3,SF
2556841,2016,0,64,19,0,PHI
497204,2016,0,9,3,0,NYJ
497204,2016,0,9,3,0,SEA
497204,2015,0,112,36,1,NO
497204,2014,0,300,78,3,BUF
497204,2013,2,933,202,4,BUF
2533033,2016,2,190,31,2,CLE
2533033,2014,1,176,38,4,WAS
2533033,2013,0,489,86,5,WAS
2532820,2016,4,96,34,3,WAS
2532820,2015,5,48,26,5,WAS
2532820,2014,0,20,7,0,WAS
2532820,2013,0,14,4,0,WAS
2540169,2016,0,6,1,0,BUF
2540169,2015,0,0,1,0,BUF
2540169,2013,0,16,2,0,BUF
2555464,2016,2,467,87,1,LV
2501078,2015,0,15,16,0,IND
2501078,2014,0,-11,8,0,IND
2501078,2013,0,-2,2,0,IND
2540224,2016,0,19,4,0,TB
2540224,2014,0,37,19,0,TB
2540224,2013,0,295,60,0,TB
2543704,2016,0,0,1,0,BAL
2543704,2015,1,47,13,0,BAL
2543704,2014,4,292,68,1,BAL
2539260,2016,0,144,41,0,JAX
2539260,2015,1,266,67,3,JAX
2539260,2014,4,582,135,2,JAX
2539260,2013,0,66,20,3,JAX
2532884,2016,0,3,1,0,DET
2532884,2015,0,33,5,0,CIN
2532884,2013,0,65,8,0,CIN
2541556,2016,0,6,1,0,DEN
2532977,2016,0,15,1,0,TEN
2532977,2015,0,17,5,0,TEN
2532977,2014,0,54,4,0,TEN
2556801,2016,0,192,60,1,SD
2555295,2016,0,31,3,0,NYG
2535964,2016,0,37,4,0,CHI
2535890,2016,0,19,4,0,NO
2535890,2015,0,12,4,1,NO
2535890,2015,0,16,7,0,SF
2535890,2014,0,32,10,1,NO
2543491,2016,0,5,1,0,SEA
2555263,2016,1,105,8,0,CLE
2507597,2015,0,-1,1,0,IND
2555387,2016,0,18,11,3,CLE
2533457,2016,2,243,69,0,DAL
2533457,2015,1,751,202,0,WAS
2533457,2014,8,1074,265,2,WAS
2533457,2013,7,1275,276,5,WAS
2495826,2014,0,4,1,0,SF
2555417,2016,1,172,30,0,SEA
2507763,2016,0,31,5,0,BAL
2507763,2015,0,6,1,0,MIN
2507763,2014,0,16,4,1,MIA
2507763,2013,0,33,3,0,MIA
2552429,2016,3,457,77,1,GB
2552429,2015,0,14,3,0,GB
2506467,2016,2,438,94,0,PHI
2506467,2015,3,317,83,0,PHI
2506467,2014,6,329,57,2,PHI
2506467,2013,2,220,53,1,NO
2550268,2016,1,293,88,0,KC
2550268,2015,4,634,160,1,KC
2495472,2016,0,59,9,0,IND
2495472,2015,0,22,4,0,PIT
2495472,2014,1,186,32,0,JAX
2495472,2013,2,256,76,0,JAX
2552477,2016,2,150,34,0,GB
2506613,2016,0,26,2,1,SEA
