Team ID,Wins,Losses,Tied,OSRS,DSRS,Year
NE,12,4,0,4.5,1.4,2013
NYJ,8,8,0,-4.7,-1.4,2013
MIA,8,8,0,-2.9,2.1,2013
BUF,6,10,0,-1.3,-1.9,2013
CIN,11,5,0,2.3,3.0,2013
PIT,8,8,0,-0.9,-1.0,2013
BAL,8,8,0,-5.0,1.4,2013
CLE,4,12,0,-4.8,-2.9,2013
IND,11,5,0,1.7,2.3,2013
TEN,7,9,0,-0.2,-0.6,2013
JAX,4,12,0,-7.1,-4.0,2013
HOU,2,14,0,-5.0,-2.6,2013
DEN,13,3,0,14.1,-2.7,2013
KC,11,5,0,1.7,4.3,2013
SD,9,7,0,0.5,2.1,2013
LV,4,12,0,-3.8,-4.2,2013
PHI,10,6,0,2.3,-0.5,2013
DAL,8,8,0,2.7,-3.4,2013
NYG,7,9,0,-6.2,0.8,2013
WAS,3,13,0,-3.9,-5.4,2013
GB,8,7,1,0.5,-3.6,2013
CHI,8,8,0,3.0,-7.1,2013
DET,7,9,0,-1.2,-0.5,2013
MIN,5,10,1,0.2,-6.9,2013
CAR,12,4,0,0.6,8.6,2013
NO,11,5,0,3.8,5.0,2013
ATL,4,12,0,1.2,-3.9,2013
TB,4,12,0,-2.9,0.3,2013
SEA,13,3,0,4.1,8.9,2013
SF,12,4,0,3.5,6.6,2013
ARI,10,6,0,2.7,3.7,2013
LA,7,9,0,0.4,1.8,2013
NE,12,4,0,7.5,3.5,2014
BUF,9,7,0,-0.4,5.3,2014
MIA,8,8,0,2.9,-0.4,2014
NYJ,4,12,0,-4.0,-1.0,2014
PIT,11,5,0,4.4,-2.1,2014
CIN,10,5,1,-0.5,1.3,2014
BAL,10,6,0,1.8,2.8,2014
CLE,7,9,0,-4.8,0.9,2014
IND,11,5,0,5.2,-0.8,2014
HOU,9,7,0,-0.8,2.5,2014
JAX,3,13,0,-7.8,-2.7,2014
TEN,2,14,0,-7.0,-4.9,2014
DEN,12,4,0,9.2,0.4,2014
SD,9,7,0,0.7,1.2,2014
KC,9,7,0,0.0,5.7,2014
LV,3,13,0,-4.3,-4.7,2014
DAL,12,4,0,5.3,0.1,2014
PHI,10,6,0,6.6,-2.7,2014
NYG,6,10,0,0.8,-2.5,2014
WAS,4,12,0,-4.0,-4.7,2014
GB,12,4,0,7.9,0.4,2014
DET,11,5,0,-3.2,5.2,2014
MIN,7,9,0,-2.8,1.1,2014
CHI,5,11,0,-2.0,-4.7,2014
CAR,7,8,1,-2.4,-0.7,2014
NO,7,9,0,1.9,-4.8,2014
ATL,6,10,0,0.6,-4.4,2014
TB,2,14,0,-6.5,-3.3,2014
SEA,12,4,0,2.4,7.1,2014
ARI,11,5,0,-2.4,4.4,2014
SF,8,8,0,-3.0,2.1,2014
LA,6,10,0,-1.2,0.4,2014
NE,12,4,0,5.3,1.7,2015
NYJ,10,6,0,-0.5,2.0,2015
BUF,8,8,0,0.3,-0.2,2015
MIA,6,10,0,-4.7,-2.2,2015
CIN,12,4,0,4.8,5.8,2015
PIT,10,6,0,5.1,3.6,2015
BAL,5,11,0,-0.7,-1.2,2015
CLE,3,13,0,-3.2,-2.9,2015
HOU,9,7,0,-3.3,2.6,2015
IND,8,8,0,-3.1,-3.6,2015
JAX,5,11,0,-0.7,-6.9,2015
TEN,3,13,0,-5.9,-4.6,2015
DEN,12,4,0,0.3,5.5,2015
KC,11,5,0,3.7,5.3,2015
LV,7,9,0,1.4,-1.6,2015
SD,4,12,0,-1.5,-1.1,2015
WAS,9,7,0,-0.2,-1.8,2015
PHI,7,9,0,-0.6,-4.0,2015
NYG,6,10,0,2.5,-6.1,2015
DAL,4,12,0,-7.0,0.1,2015
MIN,11,5,0,1.1,4.7,2015
GB,10,6,0,2.0,3.3,2015
DET,7,9,0,1.0,-1.3,2015
CHI,6,10,0,-0.1,-1.2,2015
CAR,15,1,0,6.0,2.1,2015
ATL,8,8,0,-4.0,0.3,2015
NO,7,9,0,1.1,-7.6,2015
TB,6,10,0,-3.5,-4.2,2015
ARI,13,3,0,9.0,3.4,2015
SEA,10,6,0,5.4,6.0,2015
LA,7,9,0,-3.8,3.6,2015
SF,5,11,0,-6.0,0.5,2015
NE,14,2,0,4.3,5.0,2016
MIA,10,6,0,-0.6,-1.8,2016
BUF,7,9,0,1.8,-2.2,2016
NYJ,5,11,0,-5.5,-3.0,2016
PIT,11,5,0,2.8,2.0,2016
BAL,8,8,0,-1.1,2.6,2016
CIN,6,9,1,-1.5,2.5,2016
CLE,1,15,0,-5.2,-4.9,2016
HOU,9,7,0,-5.3,2.7,2016
TEN,9,7,0,0.7,-1.7,2016
IND,8,8,0,3.1,-2.7,2016
JAX,3,13,0,-2.7,-2.3,2016
KC,12,4,0,1.2,4.4,2016
LV,12,4,0,3.5,-0.3,2016
DEN,9,7,0,-2.0,6.1,2016
SD,5,11,0,3.0,-3.0,2016
DAL,13,3,0,4.1,2.9,2016
NYG,11,5,0,-3.2,5.4,2016
WAS,8,7,1,3.3,-1.3,2016
PHI,7,9,0,1.3,2.5,2016
GB,10,6,0,4.9,-2.0,2016
DET,9,7,0,-1.3,-0.1,2016
MIN,8,8,0,-2.6,3.6,2016
CHI,3,13,0,-5.2,-2.3,2016
ATL,11,5,0,10.5,-2.0,2016
TB,9,7,0,-1.5,1.3,2016
NO,7,9,0,6.8,-5.3,2016
CAR,6,10,0,-0.2,-0.8,2016
SEA,10,5,1,-2.4,4.5,2016
ARI,7,8,1,2.4,-0.8,2016
LA,4,12,0,-9.5,-1.6,2016
SF,2,14,0,-3.7,-7.5,2016
